timestamp,stream,file_size
2013-04,domain,21496645180530
2013-04,frequent,1233494513066
2013-05,domain,10646577013628
2013-05,frequent,503687665781
2013-06,domain,1763992820313
2013-06,frequent,399955364390
2013-07,domain,497880630017
2013-07,frequent,60835781997
2013-08,frequent,585453340666
2013-09,frequent,212254954288
2013-10,frequent,691888255783
2013-11,frequent,744359661269
2013-12,frequent,814236551583
2014-01,frequent,713736844362
2014-02,frequent,897239626634
2014-03,frequent,713895516622
2014-04,frequent,1005532161253
2014-05,frequent,857723734233
2014-06,domain,4990292019947
2014-06,frequent,1011213873805
2014-07,domain,7997786988830
2014-07,frequent,850225024059
2014-08,domain,4228763495435
2014-08,frequent,836258087252
2014-09,domain,1887002283200
2014-09,frequent,589813630251
2014-10,domain,12901366343469
2014-10,frequent,1152274513168
2014-11,domain,19704030330247
2014-11,frequent,544292623756
2014-12,domain,10428775788758
2014-12,frequent,515455415080
2015-01,frequent,784513489409
2015-02,frequent,1054532023006
2015-03,frequent,937694648538
2015-04,frequent,1628677164184
2015-05,domain,235613102166
2015-05,frequent,655365232861
2015-06,frequent,996598324470
2015-07,domain,158765321
2015-07,frequent,1511157141370
2015-08,domain,4572882297168
2015-08,frequent,1307160334076
2015-09,domain,21517695604196
2015-09,frequent,1125054533737
2015-10,domain,10428473325631
2015-10,frequent,1621492476057
2015-11,domain,24232100394090
2015-11,frequent,1298818389994
2015-12,domain,14741495433783
2015-12,frequent,1452828183176
2016-01,frequent,5090601554703
2016-02,frequent,1596757583284
2016-03,frequent,1537087882554
2016-04,frequent,2606971226735
2016-05,frequent,2333724868781
2016-06,domain,112437071
2016-06,frequent,1783338096350
2016-07,frequent,1820459951534
2016-08,domain,4137229470967
2016-08,frequent,1394484649025
2016-09,domain,21530388796510
2016-09,frequent,2351233461774
2016-10,domain,15181982950820
2016-10,frequent,3306292773345
2016-11,domain,36239249417877
2016-11,frequent,1416921135036
2016-12,domain,27739226101697
2016-12,frequent,1495647147271
2016-12,webrecorder,491399057
2017-01,domain,52119907584
2017-01,frequent,2771308110362
2017-02,frequent,4827898598837
2017-03,frequent,1335312593832
2017-04,frequent,2653267245899
2017-05,frequent,1721199155315
2017-06,domain,30883890274313
2017-06,frequent,1950827074054
2017-07,domain,22315390740390
2017-07,frequent,3813423988275
2017-08,domain,15199739069784
2017-08,frequent,1210113588184
2017-09,domain,9341478791455
2017-09,frequent,1442995071443
2017-10,domain,8375778101
2017-10,frequent,1913313636381
2017-11,domain,4127772894
2017-11,frequent,1268306765297
2017-12,domain,0
2017-12,frequent,1802498617427
2018-01,frequent,1798915526045
2018-02,frequent,1699718044903
2018-03,frequent,1696905474489
2018-04,frequent,2711542892486
2018-05,frequent,4145278849571
2018-06,frequent,10696122110533
2018-07,domain,16726081849085
2018-07,frequent,6991581069333
2018-08,domain,1378165058697
2018-08,frequent,5499116104767
2018-09,domain,20518602522171
2018-09,frequent,7312429865198
2018-10,domain,8586705094806
2018-10,frequent,6702959190875
2018-11,domain,8379383778088
2018-11,frequent,7521458564640
2018-12,domain,3414467033155
2018-12,frequent,5176282768651
2019-01,domain,139067
2019-01,frequent,6317749831118
2019-02,frequent,5436992410931
2019-03,frequent,8290189122855
2019-04,domain,65160862590
2019-04,frequent,9895183469900
2019-05,frequent,10784644761351
2019-05,webrecorder,1138465383
2019-06,domain,6836933688282
2019-06,frequent,6832035740538
2019-07,domain,11973478622062
2019-07,frequent,14330210460019
2019-08,domain,11689079851921
2019-08,frequent,7234706643136
2019-09,domain,4976564393961
2019-09,frequent,8251140337157
2019-10,domain,8427751607269
2019-10,frequent,11613138687572
2019-11,domain,10113950588123
2019-11,frequent,8615401186359
2019-12,domain,9621765218631
2019-12,frequent,8037741598606
2020-01,domain,28670272746
2020-01,frequent,5429618611087
2020-02,frequent,3211085834107
2020-02,webrecorder,1653237053
